Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,27,14,13,0.519,-10.53,-6.44,,6,7,,9,4,,5,8,,1843,1472,,1084,566,1313,0.431,132,395,0.334,208,312,0.667,214,643,324,224,69,295,378
2,Air Force,26,8,18,0.308,-3.91,2.18,,4,14,,5,9,,3,9,,1563,1580,,1039,593,1355,0.438,117,369,0.317,277,413,0.671,204,797,270,195,88,398,344
3,Akron,21,7,14,0.333,-4.95,2.8,,4,14,,4,6,,3,8,,1417,1477,,844,537,1270,0.423,131,415,0.316,272,393,0.692,232,773,262,176,35,302,314
4,Alabama NCAA,27,17,10,0.63,16.96,13.55,,8,8,,8,5,,8,4,,2014,1922,,1085,750,1735,0.432,177,474,0.373,245,359,0.682,276,892,383,189,93,335,479
5,Alabama A&M,17,10,7,0.588,-8.31,-14.14,,8,5,,5,2,,5,5,,1122,1023,,687,374,980,0.382,78,247,0.316,197,295,0.668,161,522,180,134,42,237,276
6,Alabama State,20,16,4,0.8,-5.97,-15.77,,14,3,,10,1,,6,3,,1468,1272,,800,446,1186,0.376,83,318,0.261,297,436,0.681,210,625,186,164,78,329,433
7,Albany (NY),18,7,11,0.389,-16.51,-9.29,,5,7,,3,2,,4,9,,897,1027,,720,384,965,0.398,88,256,0.344,171,236,0.725,157,528,212,154,53,237,272
8,Alcorn State,20,7,13,0.35,-21.06,-11.76,,7,8,,5,3,,2,10,,1170,1356,,806,495,1074,0.461,105,284,0.37,261,423,0.617,218,753,287,173,66,401,331
9,American,11,7,4,0.636,-8.21,-10.3,,6,3,,4,0,,3,4,,705,682,,440,242,613,0.395,71,221,0.321,127,170,0.747,85,324,137,82,17,165,207
10,Appalachian State,27,15,12,0.556,-9.94,-7.35,,10,8,,7,6,,8,6,,1747,1817,,1080,664,1562,0.425,141,422,0.334,348,502,0.693,264,960,337,196,107,473,520
11,Arizona NCAA,27,21,6,0.778,30.95,19.88,,13,4,,12,2,,4,3,,1791,1492,,1089,546,1478,0.369,130,421,0.309,270,390,0.692,207,893,285,145,88,452,422
12,Arizona State,24,12,12,0.5,13.35,16.06,,6,9,,11,5,,1,7,,1296,1306,,965,471,1142,0.412,114,375,0.304,250,350,0.714,197,708,253,186,123,387,402
13,Arkansas NCAA,28,19,9,0.679,21.01,12.48,,9,6,,13,3,,6,5,,2305,2066,,1120,771,1771,0.435,175,526,0.333,349,492,0.709,309,1084,375,122,86,461,558
14,Arkansas State,21,9,12,0.429,-13.24,-9.01,,4,10,,7,6,,2,6,,1391,1101,,848,403,1033,0.39,101,338,0.299,194,262,0.74,185,596,245,144,62,239,293
15,Arkansas-Pine Bluff,21,3,18,0.143,-24.43,-9.33,,2,13,,1,5,,2,13,,1320,1637,,846,593,1375,0.431,139,414,0.336,312,456,0.684,272,791,344,223,71,296,404
16,Army,20,9,11,0.45,-15.44,-12.24,,6,8,,5,6,,4,5,,1185,1249,,799,497,1234,0.403,119,414,0.287,136,202,0.673,212,671,244,126,67,249,345
17,Auburn,24,5,19,0.208,4.59,11.71,,0,15,,5,9,,0,10,,1564,1735,,964,638,1412,0.452,191,516,0.37,268,372,0.72,213,827,382,198,74,417,390
18,Austin Peay,23,12,11,0.522,-2.09,-4.91,,10,8,,6,5,,6,6,,1469,1317,,926,457,1124,0.407,92,310,0.297,311,443,0.702,162,668,226,145,63,360,363
19,Ball State,25,14,11,0.56,0.95,1.15,,12,8,,3,8,,11,3,,1824,1829,,1019,657,1607,0.409,210,635,0.331,305,409,0.746,246,795,324,227,51,355,507
20,Baylor NCAA,31,28,3,0.903,38.32,11.74,,17,1,,15,1,,10,1,,2539,1691,,1245,586,1765,0.332,164,577,0.284,355,487,0.729,216,768,301,215,80,491,564
21,Bellarmine,22,5,17,0.227,-20.86,-6.46,,5,11,,2,8,,3,9,,1381,1698,,885,633,1324,0.478,169,486,0.348,263,380,0.692,218,797,347,192,96,348,411
22,Belmont NCAA,27,21,6,0.778,9.51,-1.27,,14,3,,9,3,,11,2,,1873,1582,,1080,569,1435,0.397,144,498,0.289,300,456,0.658,290,862,336,178,68,472,372
23,Binghamton,16,5,11,0.313,-18.45,-13.38,,5,9,,4,7,,1,4,,863,944,,639,355,921,0.385,55,210,0.262,179,270,0.663,172,556,142,145,38,248,246
