Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,27,14,13,0.519,-10.53,-6.44,,6,7,,9,4,,5,8,,1843,1472,,63.5,85.5,0.238,0.301,0.504,42.1,57.2,13,9.3,0.481,16.8,25.1,0.158
2,Air Force,26,8,18,0.308,-3.91,2.18,,4,14,,5,9,,3,9,,1563,1580,,69.4,87.6,0.305,0.272,0.509,49.3,45.5,10.8,7.9,0.481,20.4,27,0.204
3,Akron,21,7,14,0.333,-4.95,2.8,,4,14,,4,6,,3,8,,1417,1477,,74.3,94.1,0.309,0.327,0.507,55.7,48.8,11.2,4.2,0.474,17.2,32,0.214
4,Alabama NCAA,27,17,10,0.63,16.96,13.55,,8,8,,8,5,,8,4,,2014,1922,,72.3,98.1,0.207,0.273,0.504,49.3,51.1,9.6,9.5,0.483,15,29.2,0.141
5,Alabama A&M,17,10,7,0.588,-8.31,-14.14,,8,5,,5,2,,5,5,,1122,1023,,70.3,85,0.301,0.252,0.457,46.2,48.1,11.1,5.7,0.421,17.5,28,0.201
6,Alabama State,20,16,4,0.8,-5.97,-15.77,,14,3,,10,1,,6,3,,1468,1272,,75.8,84,0.368,0.268,0.457,46.9,41.7,10.8,9.5,0.411,19.1,29.3,0.25
7,Albany (NY),18,7,11,0.389,-16.51,-9.29,,5,7,,3,2,,4,9,,897,1027,,64.2,88.8,0.245,0.265,0.477,49.7,55.2,13.3,8.5,0.444,18,28.9,0.177
8,Alcorn State,20,7,13,0.35,-21.06,-11.76,,7,8,,5,3,,2,10,,1170,1356,,72.7,92.6,0.394,0.264,0.532,58.2,58,11.8,7.8,0.51,23.9,38.2,0.243
9,American,11,7,4,0.636,-8.21,-10.3,,6,3,,4,0,,3,4,,705,682,,70,88.6,0.277,0.361,0.492,49.3,56.6,10.6,4.2,0.453,19.2,24.5,0.207
10,Appalachian State,27,15,12,0.556,-9.94,-7.35,,10,8,,7,6,,8,6,,1747,1817,,74.6,90.2,0.321,0.27,0.505,51.4,50.8,9.7,10.5,0.47,20.8,30.4,0.223
11,Arizona NCAA,27,21,6,0.778,30.95,19.88,,13,4,,12,2,,4,3,,1791,1492,,69.9,78.3,0.264,0.285,0.449,49.7,52.2,7.6,7.9,0.413,21.4,23.7,0.183
12,Arizona State,24,12,12,0.5,13.35,16.06,,6,9,,11,5,,1,7,,1296,1306,,64.1,84.5,0.306,0.328,0.499,48.9,53.7,12,14.2,0.462,22.8,30.1,0.219
13,Arkansas NCAA,28,19,9,0.679,21.01,12.48,,9,6,,13,3,,6,5,,2305,2066,,77.5,95.3,0.278,0.297,0.515,57.1,48.6,5.6,8,0.485,18.7,32.6,0.197
14,Arkansas State,21,9,12,0.429,-13.24,-9.01,,4,10,,7,6,,2,6,,1391,1101,,64.4,80.5,0.254,0.327,0.476,42.8,60.8,10.5,7.4,0.439,17.1,25,0.188
15,Arkansas-Pine Bluff,21,3,18,0.143,-24.43,-9.33,,2,13,,1,5,,2,13,,1320,1637,,77.1,100.6,0.332,0.301,0.514,53.4,58,13.7,8.4,0.482,15.7,35.9,0.227
16,Army,20,9,11,0.45,-15.44,-12.24,,6,8,,5,6,,4,5,,1185,1249,,68.2,91.6,0.164,0.335,0.47,51.3,49.1,9.2,10.6,0.451,15.8,31,0.11
17,Auburn,24,5,19,0.208,4.59,11.71,,0,15,,5,9,,0,10,,1564,1735,,74.8,96.6,0.263,0.365,0.546,51.2,59.9,11,6.7,0.519,20.8,29.5,0.19
18,Austin Peay,23,12,11,0.522,-2.09,-4.91,,10,8,,6,5,,6,6,,1469,1317,,67.8,84,0.394,0.276,0.493,47,49.5,9.2,9.3,0.448,21.2,24.1,0.277
19,Ball State,25,14,11,0.56,0.95,1.15,,12,8,,3,8,,11,3,,1824,1829,,74.8,95.9,0.255,0.395,0.508,47.9,49.3,11.9,5.2,0.474,16.5,28,0.19
20,Baylor NCAA,31,28,3,0.903,38.32,11.74,,17,1,,15,1,,10,1,,2539,1691,,74.5,72.9,0.276,0.327,0.424,35.9,51.4,9.3,4.6,0.378,19.7,19.3,0.201
21,Bellarmine,22,5,17,0.227,-20.86,-6.46,,5,11,,2,8,,3,9,,1381,1698,,74.5,103,0.287,0.367,0.564,54.8,54.8,11.7,10.4,0.542,18.8,32.5,0.199
22,Belmont NCAA,27,21,6,0.778,9.51,-1.27,,14,3,,9,3,,11,2,,1873,1582,,68,86.2,0.318,0.347,0.479,50.6,59.1,9.7,7.3,0.447,22.2,34.2,0.209
23,Binghamton,16,5,11,0.313,-18.45,-13.38,,5,9,,4,7,,1,4,,863,944,,69.7,84.7,0.293,0.228,0.45,52.4,40,13,5.7,0.415,19.1,32.1,0.194
24,Boise State,23,14,9,0.609,2.39,-0.52,,10,8,,9,5,,5,4,,1594,1440,,75.2,83.3,0.243,0.294,0.459,44.5,47.9,10.6,4.4,0.428,17.3,22.8,0.168
25,Boston College,19,7,12,0.368,10.46,13.14,,2,11,,6,4,,1,8,,1295,1346,,73.6,95.7,0.291,0.309,0.532,51.1,50.7,10.2,8.9,0.496,21.1,34.4,0.219
26,Boston University,15,12,3,0.8,-0.84,-12.31,,10,2,,6,2,,6,1,,984,812,,66.8,81,0.233,0.349,0.465,42.9,52.4,10.3,5,0.428,21.3,23.1,0.175
27,Bowling Green State,29,21,8,0.724,10.61,1.92,,14,4,,13,4,,8,4,,2127,1875,,73.6,87.1,0.289,0.37,0.493,52.3,54.5,9,10.3,0.458,22,29.9,0.205
28,Bradley NCAA,29,17,12,0.586,9,5.25,,10,8,,10,5,,7,6,,2050,1841,,69.9,90.8,0.304,0.36,0.484,47.4,51.6,8.6,7.3,0.445,15.6,24.9,0.218
