Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,28,13,15,0.464,-3.41,-4.49,,9,10,,11,4,,2,10,,1976,1880,,70.2,94.3,0.264,0.381,0.516,46.8,52.5,12.2,11.4,0.485,19.7,28.5,0.192
2,Air Force,31,15,16,0.484,-2.13,1.08,,8,10,,10,6,,5,8,,1981,2059,,70.7,93.6,0.366,0.257,0.531,54.5,43.6,11,8.8,0.485,23.6,34.7,0.276
3,Akron,28,10,18,0.357,-8.98,-4.77,,5,12,,5,8,,4,9,,1742,1860,,67.9,95.3,0.274,0.33,0.504,49.9,56.6,11.2,8.5,0.474,18.4,31.1,0.19
4,Alabama,31,23,8,0.742,22.51,9.71,,10,6,,15,3,,6,4,,2290,1893,,71.1,85.8,0.269,0.276,0.46,47.6,52.9,10.5,10.4,0.426,20.7,32.5,0.185
5,Alabama A&M,29,15,14,0.517,-11.48,-10.88,,10,7,,10,3,,4,10,,1790,1777,,70.6,86,0.331,0.255,0.473,48,50.1,12.2,7.6,0.43,21.2,31.2,0.235
6,Alabama State,28,3,25,0.107,-27.62,-2.91,,3,14,,1,8,,2,17,,1384,2076,,73,101.6,0.405,0.259,0.512,55.6,57.8,17,10.9,0.469,17.1,39.2,0.284
7,Albany (NY),29,24,5,0.828,-2.52,-10.38,,13,3,,13,1,,11,4,,1796,1485,,63.1,81.2,0.222,0.318,0.446,44.7,50,12.1,9.3,0.413,20.7,28.9,0.159
8,Alcorn State,28,9,19,0.321,-17.29,-5.84,,7,10,,6,5,,3,14,,1508,1784,,70.2,90.7,0.426,0.33,0.474,50.5,56.7,14.4,6.4,0.427,18,32,0.286
9,American,29,10,19,0.345,-14.35,-9.14,,8,10,,5,10,,5,9,,1752,1903,,70.4,92.4,0.318,0.313,0.507,52.3,52,11.9,7.7,0.47,20.8,31.4,0.227
10,Appalachian State,31,17,14,0.548,-1.56,-1.63,,9,9,,10,3,,4,11,,2236,2234,,77.4,92.8,0.305,0.269,0.496,51.2,45.8,10.4,8.4,0.46,19.7,34.1,0.217
11,Arizona,32,17,15,0.531,22.22,18.04,,8,10,,10,5,,4,7,,2238,2104,,70.1,91,0.314,0.349,0.512,52.4,57.3,9.6,7.4,0.48,23.4,34.7,0.216
12,Arizona State,31,11,20,0.355,8.93,17.58,,3,15,,7,9,,1,9,,1905,2173,,68.8,101.1,0.295,0.325,0.513,55.5,61.8,7.7,10.7,0.481,18,38.1,0.208
13,Arkansas,32,18,14,0.563,14,12.78,,6,10,,11,6,,4,6,,2230,2191,,74.6,91.8,0.221,0.3,0.476,53.6,53.3,8.5,9.6,0.446,17,30.6,0.159
14,Arkansas State,30,13,17,0.433,-2.05,-1.84,,6,12,,10,7,,3,9,,1990,1916,,68.2,92.8,0.229,0.359,0.49,49.8,55.9,7.8,6.6,0.459,18.7,30.9,0.167
15,Arkansas-Pine Bluff,30,16,14,0.533,-3.58,-5.65,,11,6,,8,4,,8,7,,2227,2034,,78.2,86.3,0.382,0.29,0.468,49,60.5,10.4,6.6,0.422,21,31.8,0.262
16,Army,28,12,16,0.429,-15.62,-9.97,,9,9,,7,9,,5,7,,1655,1742,,68.2,91.3,0.286,0.283,0.517,49.7,58.3,11,11.7,0.485,21.2,28.2,0.205
17,Auburn,30,20,10,0.667,21.22,11.82,,8,8,,14,3,,5,7,,2017,1735,,72.8,79.4,0.346,0.262,0.46,49.5,44,9.9,6.9,0.41,24.8,30.3,0.25
18,Austin Peay,30,15,15,0.5,-4.05,-5.86,,8,8,,8,8,,5,7,,1881,1807,,67.8,87.8,0.321,0.29,0.477,48.3,49.8,11.6,7.1,0.437,19.7,28.1,0.226
19,Ball State,30,26,4,0.867,10.05,-2.05,,15,2,,13,1,,11,3,,2215,1827,,71.6,84.3,0.263,0.323,0.493,50.9,56,9.1,6.8,0.465,24.1,28.3,0.178
20,Baylor,29,23,6,0.793,29.23,13.12,,12,6,,14,2,,6,4,,2186,1719,,73.8,80.4,0.252,0.298,0.459,44.2,50.6,10.5,7.7,0.428,22.2,24.6,0.172
21,Bellarmine,28,10,18,0.357,-14.66,-3.66,,5,11,,6,7,,4,11,,1886,2096,,75.2,99.1,0.36,0.366,0.528,51.9,46.8,9.9,7.4,0.487,19.4,32.4,0.264
22,Belmont,30,23,7,0.767,12.07,2.53,,16,3,,13,2,,9,4,,2137,1851,,70,88.1,0.225,0.323,0.468,49.4,53.1,9.3,5.9,0.437,18.2,29.2,0.161
