Id,Label,modularity_class,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
I Need A Girl (Part Two),I Need A Girl (Part Two),0,0,1,1,1,0
P. Diddy,P. Diddy,0,0.132395,0,0,0,0
Ginuwine,Ginuwine,27,0.058842,0,0,0,0
Loon,Loon,0,0.029421,0,0,0,0
Mario Winans,Mario Winans,0,0.088263,0,0,0,0
Tammy Ruggeri,Tammy Ruggeri,0,0.014711,0,0,0,0
Sean Combs,Sean Combs,0,0.264789,0,0,0,0
Chauncey Hawkins,Chauncey Hawkins,0,0.044132,0,0,0,0
Frankie Romano,Frankie Romano,0,0.014711,0,0,0,0
Michael Carlos Jones,Michael Carlos Jones,0,0.029421,0,0,0,0
Adonis Shropshire,Adonis Shropshire,151,0.073553,0,0,0,0
Jealous,Jealous,123,0,1,1,1,0
DJ Khaled,DJ Khaled,183,0.088263,0,0,0,0
Big Sean,Big Sean,2,0.102974,0,0,0,0
Chris Brown,Chris Brown,101,0.205947,0,0,0,0
Lil Wayne,Lil Wayne,123,0.220658,0,0,0,0
Khaled Khaled,Khaled Khaled,183,0.073553,0,0,0,0
Meant To Be,Meant To Be,1,0,1,1,1,0
Bebe Rexha,Bebe Rexha,91,0.044132,0,0,0,0
Florida Georgia Line,Florida Georgia Line,1,0.029421,0,0,0,0
David Garcia,David Garcia,1,0.029421,0,0,0,0
Wilshire Pablo Garcia,Wilshire Pablo Garcia,1,0.014711,0,0,0,0
Joey Moi,Joey Moi,1,0.044132,0,0,0,0
Bleta Rexha,Bleta Rexha,166,0.044132,0,0,0,0
Tyler Hubbard,Tyler Hubbard,1,0.029421,0,0,0,0
Josh Miller,Josh Miller,1,0.014711,0,0,0,0
FourFiveSeconds,FourFiveSeconds,2,0,1,1,1,0
Rihanna,Rihanna,103,0.338342,0,0,0,0
Kanye West,Kanye West,2,0.397184,0,0,0,0
Paul McCartney,Paul McCartney,2,0.014711,0,0,0,0
Kirby Lauryen,Kirby Lauryen,2,0.014711,0,0,0,0
Mike Dean,Mike Dean,2,0.058842,0,0,0,0
Tyrone Griffin,Tyrone Griffin,2,0.044132,0,0,0,0
Dave Longstreth,Dave Longstreth,2,0.014711,0,0,0,0
Robyn Fenty,Robyn Fenty,149,0.132395,0,0,0,0
Dallas Austin,Dallas Austin,94,0.191237,0,0,0,0
Elon Rutberg,Elon Rutberg,2,0.014711,0,0,0,0
Noah Goldstein,Noah Goldstein,2,0.014711,0,0,0,0
Eastside,Eastside,91,0,1,1,1,0
Benny Blanco,Benny Blanco,166,0.353052,0,0,0,0
Khalid,Khalid,103,0.088263,0,0,0,0
Halsey,Halsey,91,0.058842,0,0,0,0
Andrew Watt,Andrew Watt,91,0.088263,0,0,0,0
Cashmere Cat,Cashmere Cat,91,0.029421,0,0,0,0
Happy Perez,Happy Perez,91,0.044132,0,0,0,0
Ashley Frangipane,Ashley Frangipane,91,0.058842,0,0,0,0
Nathan Perez,Nathan Perez,91,0.014711,0,0,0,0
Khalid Robinson,Khalid Robinson,103,0.088263,0,0,0,0
Ed Sheeran,Ed Sheeran,166,0.161816,0,0,0,0
I Know What You Want,I Know What You Want,101,0,1,1,1,0
Busta Rhymes,Busta Rhymes,101,0.088263,0,0,0,0
Mariah Carey,Mariah Carey,149,0.29421,0,0,0,0
The Flipmode Squad,The Flipmode Squad,101,0.014711,0,0,0,0
Rick Rock,Rick Rock,101,0.014711,0,0,0,0
Trevor G. Smith Jr.,Trevor G. Smith Jr.,101,0.014711,0,0,0,0
Rashia Fisher,Rashia Fisher,101,0.014711,0,0,0,0
Roger McNair,Roger McNair,101,0.014711,0,0,0,0
Ricardo Thomas,Ricardo Thomas,101,0.014711,0,0,0,0
William A. Lewis,William A. Lewis,101,0.014711,0,0,0,0
L. Jones,L. Jones,101,0.014711,0,0,0,0
The Boy Is Mine,The Boy Is Mine,92,0,1,1,1,0
Brandy,Brandy,92,0.073553,0,0,0,0
Monica,Monica,94,0.117684,0,0,0,0
Darkchild,Darkchild,92,0.102974,0,0,0,0
LaShawn Daniels,LaShawn Daniels,92,0.117684,0,0,0,0
Rodney Jerkins,Rodney Jerkins,92,0.176526,0,0,0,0
Fred Jerkins III,Fred Jerkins III,92,0.117684,0,0,0,0
Japhe Tejeda,Japhe Tejeda,92,0.014711,0,0,0,0
Brandy Norwood,Brandy Norwood,92,0.014711,0,0,0,0
Give Me Everything,Give Me Everything,45,0,1,1,1,0
Pitbull,Pitbull,45,0.132395,0,0,0,0
Nayer,Nayer,45,0.014711,0,0,0,0
Ne-Yo,Ne-Yo,103,0.147105,0,0,0,0
Afrojack,Afrojack,45,0.044132,0,0,0,0
DJ Buddha (co.),DJ Buddha (co.),45,0.014711,0,0,0,0
Armando Pérez,Armando Pérez,45,0.029421,0,0,0,0
Nick van de Wall,Nick van de Wall,45,0.044132,0,0,0,0
Shaffer Smith,Shaffer Smith,103,0.147105,0,0,0,0
Juju On That Beat (TZ Anthem),Juju On That Beat (TZ Anthem),3,0,1,1,1,0
Zay Hilfigerrr,Zay Hilfigerrr,3,0.014711,0,0,0,0
Zayion McCall,Zayion McCall,3,0.014711,0,0,0,0
Lil' Jay,Lil' Jay,3,0.014711,0,0,0,0
Tyjuan Peoples,Tyjuan Peoples,3,0.014711,0,0,0,0
James McCall,James McCall,3,0.014711,0,0,0,0
Jonathan Lewis,Jonathan Lewis,3,0.014711,0,0,0,0
Brittany Carpentero,Brittany Carpentero,3,0.014711,0,0,0,0
Christopher Henderson,Christopher Henderson,3,0.014711,0,0,0,0
Venetia Lewis,Venetia Lewis,3,0.014711,0,0,0,0
Alphonce Smith,Alphonce Smith,3,0.014711,0,0,0,0
Jarques Usher,Jarques Usher,3,0.014711,0,0,0,0
If You Go,If You Go,4,0,1,1,1,0
Jon Secada,Jon Secada,4,0.014711,0,0,0,0
Emilio Estefan,Emilio Estefan,4,0.014711,0,0,0,0
Lawrence Dermer,Lawrence Dermer,4,0.014711,0,0,0,0
Miguel Morejon,Miguel Morejon,4,0.014711,0,0,0,0
Freak Like Me,Freak Like Me,5,0,1,1,1,0
Adina Howard,Adina Howard,5,0.014711,0,0,0,0
Mass Order,Mass Order,5,0.014711,0,0,0,0
Eugene Hanes,Eugene Hanes,5,0.014711,0,0,0,0
Marc Valentine,Marc Valentine,5,0.014711,0,0,0,0
Loren Hill,Loren Hill,5,0.014711,0,0,0,0
"William ""Bootsy"" Collins","William ""Bootsy"" Collins",5,0.014711,0,0,0,0
"George Clinton, Jr.","George Clinton, Jr.",5,0.014711,0,0,0,0
Livin' La Vida Loca,Livin' La Vida Loca,162,0,1,1,1,0
Ricky Martin,Ricky Martin,162,0.014711,0,0,0,0
Desmond Child,Desmond Child,162,0.102659,0,0,0,0
Draco Rosa,Draco Rosa,162,0.029421,0,0,0,0
Money,Money,99,0,1,1,1,0
Cardi B,Cardi B,99,0.102974,0,0,0,0
J. White Did It,J. White Did It,99,0.044132,0,0,0,0
Belcalis Almanzar,Belcalis Almanzar,99,0.102974,0,0,0,0
Anthony White,Anthony White,99,0.044132,0,0,0,0
My Love,My Love,162,0,1,1,1,0
Lionel Richie,Lionel Richie,162,0.029421,0,0,0,0
Lionel RichieJames Anthony Carmichael,Lionel RichieJames Anthony Carmichael,162,0.014711,0,0,0,0
Looking Through Patient Eyes,Looking Through Patient Eyes,6,0,1,1,1,0
P.M. Dawn,P.M. Dawn,6,0.044132,0,0,0,0
Attrell Cordes,Attrell Cordes,6,0.044132,0,0,0,0
George Michael,George Michael,6,0.029421,0,0,0,0
Ms. Jackson,Ms. Jackson,8,0,1,1,1,0
OutKast,OutKast,8,0.044132,0,0,0,0
Earthtone III,Earthtone III,8,0.014711,0,0,0,0
André Benjamin,André Benjamin,8,0.014711,0,0,0,0
Antwan Patton,Antwan Patton,8,0.014711,0,0,0,0
David Sheats,David Sheats,8,0.014711,0,0,0,0
Miss You,Miss You,103,0,1,1,1,0
Aaliyah,Aaliyah,27,0.088263,0,0,0,0
Teddy Bishop,Teddy Bishop,103,0.014711,0,0,0,0
Johntá Austin,Johntá Austin,103,0.044132,0,0,0,0
Elgin Baylor Lumpkin,Elgin Baylor Lumpkin,103,0.014711,0,0,0,0
Incomplete,Incomplete,107,0,1,1,1,0
Backstreet Boys,Backstreet Boys,166,0.102974,0,0,0,0
Dan Muckala,Dan Muckala,107,0.014711,0,0,0,0
Lindy Robbins,Lindy Robbins,107,0.029421,0,0,0,0
Jess Cates,Jess Cates,107,0.029421,0,0,0,0
Jingle Bell Rock,Jingle Bell Rock,7,0,1,1,1,0
Bobby Helms,Bobby Helms,7,0.014711,0,0,0,0
Paul Cohen,Paul Cohen,7,0.014711,0,0,0,0
Joe Beal,Joe Beal,7,0.014711,0,0,0,0
Jim Boothe,Jim Boothe,7,0.014711,0,0,0,0
If,If,94,0,1,1,1,0
Janet Jackson,Janet Jackson,94,0.235368,0,0,0,0
Jimmy Jam and Terry Lewis,Jimmy Jam and Terry Lewis,94,0.205947,0,0,0,0
Jimmy Jam & Terry Lewis,Jimmy Jam & Terry Lewis,94,0.073553,0,0,0,0
Harvey Fuqua,Harvey Fuqua,94,0.014711,0,0,0,0
John Bristol,John Bristol,94,0.014711,0,0,0,0
Jackey Beavers,Jackey Beavers,94,0.014711,0,0,0,0
Now And Forever,Now And Forever,166,0,1,1,1,0
Richard Marx,Richard Marx,166,0.029421,0,0,0,0
It Wasn't Me,It Wasn't Me,124,0,1,1,1,0
Shaggy,Shaggy,124,0.029421,0,0,0,0
"Ricardo ""RikRok"" Ducent","Ricardo ""RikRok"" Ducent",124,0.014711,0,0,0,0
"Shaun ""Sting"" Pizzonia","Shaun ""Sting"" Pizzonia",124,0.014711,0,0,0,0
Orville Burrell,Orville Burrell,124,0.044132,0,0,0,0
Rickardo Ducent,Rickardo Ducent,124,0.029421,0,0,0,0
Shaun Pizzonia,Shaun Pizzonia,124,0.029421,0,0,0,0
Brian Thompson,Brian Thompson,124,0.029421,0,0,0,0
Hey Ya!,Hey Ya!,8,0,1,1,1,0
André 3000,André 3000,8,0.014711,0,0,0,0
Love Song,Love Song,9,0,1,1,1,0
The Cure,The Cure,9,0.014711,0,0,0,0
Robert Smith,Robert Smith,9,0.014711,0,0,0,0
Dave Allen,Dave Allen,9,0.014711,0,0,0,0
Simon Gallup,Simon Gallup,9,0.014711,0,0,0,0
Porl Thompson,Porl Thompson,9,0.014711,0,0,0,0
Roger O'Donnell,Roger O'Donnell,9,0.014711,0,0,0,0
Boris Williams,Boris Williams,9,0.014711,0,0,0,0
Lol Tolhurst,Lol Tolhurst,9,0.014711,0,0,0,0
If Wishes Came True,If Wishes Came True,10,0,1,1,1,0
Sweet Sensation,Sweet Sensation,10,0.014711,0,0,0,0
Steve Peck,Steve Peck,10,0.014711,0,0,0,0
Deena Charles,Deena Charles,10,0.014711,0,0,0,0
Robert Steele,Robert Steele,10,0.014711,0,0,0,0
Russ DeSalvo,Russ DeSalvo,10,0.014711,0,0,0,0
If You Love Me,If You Love Me,11,0,1,1,1,0
Mint Condition,Mint Condition,11,0.014711,0,0,0,0
Keri Lewis,Keri Lewis,11,0.014711,0,0,0,0
I Just Wanna Love U (Give It 2 Me),I Just Wanna Love U (Give It 2 Me),27,0,1,1,1,0
JAY-Z,JAY-Z,27,0.058842,0,0,0,0
The Neptunes,The Neptunes,27,0.176526,0,0,0,0
Shawn Carter,Shawn Carter,27,0.29421,0,0,0,0
Pharrell Williams,Pharrell Williams,27,0.250079,0,0,0,0
Chad Hugo,Chad Hugo,27,0.147105,0,0,0,0
Rick James,Rick James,2,0.044132,0,0,0,0
"Not Gon' Cry (From ""Waiting To Exhale"")","Not Gon' Cry (From ""Waiting To Exhale"")",92,0,1,1,1,0
Mary J. Blige,Mary J. Blige,151,0.044132,0,0,0,0
Babyface,Babyface,92,0.367763,0,0,0,0
Kissin' You,Kissin' You,27,0,1,1,1,0
Total,Total,27,0.029421,0,0,0,0
Izzo (H.O.V.A.),Izzo (H.O.V.A.),2,0,1,1,1,0
Life Is A Highway,Life Is A Highway,12,0,1,1,1,0
Rascal Flatts,Rascal Flatts,12,0.029421,0,0,0,0
Tom Cochrane,Tom Cochrane,12,0.014711,0,0,0,0
Joe Hardy,Joe Hardy,12,0.014711,0,0,0,0
Happier,Happier,166,0,1,1,1,0
Ryan Tedder,Ryan Tedder,13,0.132395,0,0,0,0
God's Country,God's Country,102,0,1,1,1,0
Blake Shelton,Blake Shelton,102,0.014711,0,0,0,0
Scott Hendricks,Scott Hendricks,102,0.044132,0,0,0,0
Devin Dawson,Devin Dawson,102,0.014711,0,0,0,0
Jordan Schmidt,Jordan Schmidt,102,0.014711,0,0,0,0
Michael Hardy,Michael Hardy,102,0.014711,0,0,0,0
I Adore Mi Amor,I Adore Mi Amor,74,0,1,1,1,0
Color Me Badd,Color Me Badd,74,0.044132,0,0,0,0
"Hamza Lee, Royal Bayyan","Hamza Lee, Royal Bayyan",74,0.014711,0,0,0,0
"Hamza Lee, Color Me Badd","Hamza Lee, Color Me Badd",74,0.014711,0,0,0,0
Give Me One Reason,Give Me One Reason,88,0,1,1,1,0
Tracy Chapman,Tracy Chapman,88,0.014711,0,0,0,0
Don Gehman,Don Gehman,88,0.029421,0,0,0,0
Heartbreaker,Heartbreaker,149,0,1,1,1,0
Jay-Z,Jay-Z,149,0.132395,0,0,0,0
DJ Clue,DJ Clue,162,0.029421,0,0,0,0
Ken “Duro” Ifill,Ken “Duro” Ifill,149,0.014711,0,0,0,0
Shirley Elliston,Shirley Elliston,149,0.014711,0,0,0,0
Lincoln Chase,Lincoln Chase,149,0.014711,0,0,0,0
Narada Michael Walden,Narada Michael Walden,149,0.073553,0,0,0,0
Jeffrey Cohen,Jeffrey Cohen,149,0.014711,0,0,0,0
Drive By,Drive By,103,0,1,1,1,0
Train,Train,103,0.029421,0,0,0,0
Espionage,Espionage,103,0.014711,0,0,0,0
Butch Walker,Butch Walker,154,0.058842,0,0,0,0
Pat Monahan,Pat Monahan,103,0.029421,0,0,0,0
Espen Lind,Espen Lind,103,0.058842,0,0,0,0
Amund Bjørklund,Amund Bjørklund,103,0.044132,0,0,0,0
Hold On,Hold On,19,0,1,1,1,0
En Vogue,En Vogue,19,0.088263,0,0,0,0
Denzil Foster,Denzil Foster,19,0.073553,0,0,0,0
Thomas McElroy,Thomas McElroy,19,0.073553,0,0,0,0
Terry Ellis,Terry Ellis,19,0.014711,0,0,0,0
Cindy Herron,Cindy Herron,19,0.014711,0,0,0,0
Maxine Jones,Maxine Jones,19,0.014711,0,0,0,0
Dawn Robinson,Dawn Robinson,19,0.014711,0,0,0,0
"I'd Die Without You (From ""Boomerang"")","I'd Die Without You (From ""Boomerang"")",6,0,1,1,1,0
I Wanna Be Down,I Wanna Be Down,92,0,1,1,1,0
Keith Crouch,Keith Crouch,92,0.029421,0,0,0,0
Kipper Jones,Kipper Jones,92,0.029421,0,0,0,0
Foolish Games/You Were Meant For Me,Foolish Games/You Were Meant For Me,92,0,1,1,1,0
Jewel,Jewel,92,0.044132,0,0,0,0
Ben Keith,Ben Keith,92,0.029421,0,0,0,0
Peter Collin,Peter Collin,92,0.014711,0,0,0,0
Jewel Kilcher,Jewel Kilcher,92,0.044132,0,0,0,0
Steve Poltz,Steve Poltz,92,0.014711,0,0,0,0
Genie In A Bottle,Genie In A Bottle,78,0,1,1,1,0
Christina Aguilera,Christina Aguilera,78,0.132395,0,0,0,0
David Frank,David Frank,78,0.029421,0,0,0,0
Steve Kipner,Steve Kipner,78,0.058842,0,0,0,0
Pamela Sheyne,Pamela Sheyne,78,0.029421,0,0,0,0
Just Like A Pill,Just Like A Pill,94,0,1,1,1,0
P!nk,P!nk,94,0.161816,0,0,0,0
Pink,Pink,94,0.117684,0,0,0,0
Gangsta Lovin',Gangsta Lovin',2,0,1,1,1,0
Eve,Eve,105,0.044132,0,0,0,0
Alicia Keys,Alicia Keys,2,0.132395,0,0,0,0
Irv Gotti,Irv Gotti,100,0.147105,0,0,0,0
Channel 7,Channel 7,2,0.014711,0,0,0,0
Alisa Yarbrough,Alisa Yarbrough,2,0.014711,0,0,0,0
Jonah Ellis,Jonah Ellis,2,0.014711,0,0,0,0
Lonnie Simmons,Lonnie Simmons,2,0.029421,0,0,0,0
Eve Jeffers,Eve Jeffers,27,0.044132,0,0,0,0
Miss Independent,Miss Independent,103,0,1,1,1,0
Kelly Clarkson,Kelly Clarkson,103,0.088263,0,0,0,0
Rhett Lawrence,Rhett Lawrence,103,0.029421,0,0,0,0
Matt Morris,Matt Morris,103,0.014711,0,0,0,0
"Never Leave You - Uh Ooh, Uh Oooh!","Never Leave You - Uh Ooh, Uh Oooh!",105,0,1,1,1,0
Lumidee,Lumidee,105,0.014711,0,0,0,0
DJ Tedsmooth,DJ Tedsmooth,105,0.014711,0,0,0,0
Trendsetta,Trendsetta,105,0.014711,0,0,0,0
Lumidee Cedeño,Lumidee Cedeño,105,0.014711,0,0,0,0
Teddy Mendez,Teddy Mendez,105,0.014711,0,0,0,0
Edwin Perez,Edwin Perez,105,0.014711,0,0,0,0
Steven Marsden,Steven Marsden,105,0.044132,0,0,0,0
Never Be The Same,Never Be The Same,91,0,1,1,1,0
Camila Cabello,Camila Cabello,91,0.044132,0,0,0,0
Frank Dukes,Frank Dukes,91,0.088263,0,0,0,0
Adam Feeney,Adam Feeney,91,0.102974,0,0,0,0
Leo Rami Dawod,Leo Rami Dawod,91,0.014711,0,0,0,0
Jacob Ludwig Olofsson,Jacob Ludwig Olofsson,91,0.014711,0,0,0,0
Noonie Bao,Noonie Bao,91,0.014711,0,0,0,0
Sasha Yatchenko,Sasha Yatchenko,91,0.014711,0,0,0,0
Impulsive,Impulsive,78,0,1,1,1,0
Wilson Phillips,Wilson Phillips,78,0.014711,0,0,0,0
Glen Ballard,Glen Ballard,78,0.044132,0,0,0,0
Clif Magness,Clif Magness,78,0.029421,0,0,0,0
I Got 5 On It,I Got 5 On It,94,0,1,1,1,0
Luniz,Luniz,94,0.014711,0,0,0,0
Tone Capone,Tone Capone,94,0.014711,0,0,0,0
Anthony Gilmour,Anthony Gilmour,94,0.014711,0,0,0,0
Claydes Smith,Claydes Smith,94,0.044132,0,0,0,0
Dennis Thomas,Dennis Thomas,94,0.029421,0,0,0,0
Donald Boyce,Donald Boyce,94,0.044132,0,0,0,0
Garrick Husbands,Garrick Husbands,94,0.014711,0,0,0,0
George Brown,George Brown,94,0.044132,0,0,0,0
Jay King,Jay King,19,0.029421,0,0,0,0
Jerold Ellis,Jerold Ellis,94,0.014711,0,0,0,0
Rick Westfield,Rick Westfield,94,0.014711,0,0,0,0
Robert Bell,Robert Bell,94,0.029421,0,0,0,0
Robert Mickens,Robert Mickens,94,0.029421,0,0,0,0
Ronald Bell,Ronald Bell,94,0.058842,0,0,0,0
Kirk Robinson,Kirk Robinson,94,0.014711,0,0,0,0
Nathan Bell,Nathan Bell,94,0.014711,0,0,0,0
Clifford Adams,Clifford Adams,94,0.014711,0,0,0,0
Hey Baby,Hey Baby,105,0,1,1,1,0
No Doubt,No Doubt,105,0.029421,0,0,0,0
Bounty Killer,Bounty Killer,105,0.014711,0,0,0,0
Sly and Robbie,Sly and Robbie,105,0.029421,0,0,0,0
Gwen Stefani,Gwen Stefani,105,0.088263,0,0,0,0
Tony Kanal,Tony Kanal,105,0.014711,0,0,0,0
Tom Dumont,Tom Dumont,105,0.014711,0,0,0,0
Rodney Price,Rodney Price,105,0.014711,0,0,0,0
On Fire,On Fire,105,0,1,1,1,0
Cool & Dre,Cool & Dre,105,0.044132,0,0,0,0
D. Carter,D. Carter,105,0.014711,0,0,0,0
A. Lyon,A. Lyon,105,0.014711,0,0,0,0
M. Valenzano,M. Valenzano,105,0.014711,0,0,0,0
E. Montilla,E. Montilla,105,0.014711,0,0,0,0
G. Moroder,G. Moroder,105,0.014711,0,0,0,0
P. Bellotte,P. Bellotte,105,0.014711,0,0,0,0
Stressed Out,Stressed Out,105,0,1,1,1,0
twenty one pilots,twenty one pilots,105,0.014711,0,0,0,0
Mike Elizondo,Mike Elizondo,105,0.102974,0,0,0,0
Tyler Joseph,Tyler Joseph,105,0.029421,0,0,0,0
Set Fire To The Rain,Set Fire To The Rain,103,0,1,1,1,0
Adele,Adele,103,0.058842,0,0,0,0
Fraser T. Smith,Fraser T. Smith,103,0.014711,0,0,0,0
Adele Adkins,Adele Adkins,103,0.073553,0,0,0,0
All Of Me,All Of Me,183,0,1,1,1,0
John Legend,John Legend,183,0.044132,0,0,0,0
Dave Tozer,Dave Tozer,183,0.014711,0,0,0,0
John Stephens,John Stephens,183,0.058842,0,0,0,0
Toby Gad,Toby Gad,105,0.044132,0,0,0,0
All I Want For Christmas Is You,All I Want For Christmas Is You,149,0,1,1,1,0
Walter Afanasieff,Walter Afanasieff,149,0.117684,0,0,0,0
Bubbly,Bubbly,92,0,1,1,1,0
Colbie Caillat,Colbie Caillat,92,0.029421,0,0,0,0
Mikal Blue,Mikal Blue,92,0.014711,0,0,0,0
Jason Reeves,Jason Reeves,92,0.029421,0,0,0,0
The Best Things In Life Are Free,The Best Things In Life Are Free,94,0,1,1,1,0
Luther Vandross,Luther Vandross,94,0.014711,0,0,0,0
BBD,BBD,94,0.014711,0,0,0,0
Ralph Tresvant,Ralph Tresvant,94,0.044132,0,0,0,0
Michael Bivins,Michael Bivins,94,0.029421,0,0,0,0
Ronnie DeVoe,Ronnie DeVoe,94,0.014711,0,0,0,0
Harry Wayne Casey,Harry Wayne Casey,0,0.044132,0,0,0,0
Richard Finch,Richard Finch,0,0.044132,0,0,0,0
Livin' It Up,Livin' It Up,100,0,1,1,1,0
