Song,Performer,lyrics,genius_pageviews,genius_title,,
3,Britney Spears,"1, 2, 3
Not only you and me
Got one-eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul, and Mary
Getting down with 3P
Everybody loves me (ooh)
Counting
1, 2, 1, 1, 1, 2, 3
Counting
1, 2
Counting
1, 2, 3

Babe, pick a night to come out and play
If it's alright
What do you say?
Merrier the more
Triple fun that way
Twister on the floor
What do you say?

Are you in?
Living in sin is the new thing
Yeah, are you in?
I am counting

1, 2, 3
Not only you and me
Got one-eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul, and Mary
Getting down with 3P
Everybody loves me (ooh)
Counting, 1, 2, 3
Not only you and me
Got one eighty-degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul, and Mary
Getting down with 3P
Everybody loves me (ooh)

Three is a charm
Two is not the same
I don't see the harm
So are you game?
Let's make a team
Make them say my name
Loving the extreme
Now are you game?
Are you in?
Living in sin is the new thing
Yeah, are you in?
I am counting

1, 2, 3
Not only you and me
Got one-eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul, and Mary
Getting down with 3P
Everybody loves me (ooh)
Counting, 1, 2, 3
Not only you and me
Got one-eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul, and Mary
Getting down with 3P
Everybody loves me (ooh)

What we do is innocent
Just for fun and nothing meant
If you don't like the company
Let's just do it, you and me
You and me, or three
Or four, on the floor
1, 2, 3
Not only you and me
Got one-eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul, and Mary
Getting down with 3P
Everybody loves me (Ooh)
Counting, 1, 2, 3
Not only you and me
Got one-eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul, and Mary
Getting down with 3P
Everybody loves me (Ooh)",152335,3 by Britney Spears,,
7,Prince And The New Power Generation,"All seven and we'll watch them fall
They stand in the way of love and we will smoke them all
With an intellect and a savoir faire
No one in the whole universe will ever compare
I am yours now and you are mine
And together we'll love through all space and time
So don't cry
One day all seven will die

All seven and we'll watch them fall
They stand in the way of love and we will smoke them all
With an intellect and a savoir faire
No one in the whole universe will ever compare
I am yours now and you are mine
And together we'll love through all space and time
So don't cry
One day all seven will die

And I saw an angel come down unto me
In her hand, she holds the very key
Words of compassion, words of peace
And in the distance an army's marching feet (One, two, three, four, one, two, three, four)
But behold, we will watch them fall
And we lay down on the sand of the sea
And before us, animosity will stand and decree
That we speak not of love, only blasphemy
And in the distance, six others will curse me
But that's all right (That's all right)
For I will watch them fall
(One, two, three, four, five, six, seven)

All seven and we'll watch them fall
They stand in the way of love and we will smoke them all
With an intellect (Huh), and a savoir faire
No one in the whole universe will ever compare
I am yours now and you are mine
And together we'll love through all space and time
So don't cry
One day all seven will die
(Just how old?)

And we will see a plague and a river of blood (Ah)
And every evil soul will surely die in spite of
Their seven tears, but do not fear
For in the distance, twelve souls from now
You and me will still be here
We will still be here
There will be a new city with streets of gold (Ah-ah-ah)
The young so educated, they never grow old
And, uh, there will be no death for with every breath
The voice of many colors sings a song that's so bold
Sing it while we watch them fall

All seven and we'll watch them fall
They stand in the way of love and we will smoke them all
With an intellect and a savoir faire
No one in the whole universe will ever compare
I am yours now and you are mine
And together we'll love through all space and time
So don't cry
One day all seven will die
(Just how old?)
(Just how old?)
(Just how old?)",160820,7 by Prince and the New Power Generation,,
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J","Heh, I'm so fresh man (Eardrummers)
Man, y'all scared to do it how I do it (Hahahahahaha)

I'm in the club high on purp with some shades on
Tatted up, mini skirt with my J's on
In the club high on purp with some shades on
Tatted up, mini skirt with my J's on

J's on my feet (We trippin'!)
J's on my feet
J's on my feet
So get like me
J's on my feet
J's on my feet
J's on my feet
So get like me

I be in the club (The club) standing on the couch (The couch)
In them Wolf Grey's (What?) like it's my house (I'm home!)
Drinking out the bottle, I got no respect (Ayy!)
Looking like a model, who just got a check (Cha-ching!)
I back it up, cause I don't give a fuck (I don't)
If you're a lame, that's a shame you can't hang with us (Uh-uh)
I'm MC Hammer fly (Fresh!), you can't touch (Nope!)
J's so fly I should work at Flight Club

Put on my J's and dance the whole night away
I'm naughty by nature like I'm Hip-Hop Hooray
With my hands in the sky, I wave ‘em from side to side
My feet on the floor, I'm 'bout to turn up now

I'm in the club high on purp with some shades on
Tatted up, mini skirt with my J's on
In the club high on purp with some shades on
Tatted up, mini skirt with my J's on

J's on my feet
J's on my feet
J's on my feet
So get like me
J's on my feet
J's on my feet
J's on my feet
So get like me

I be rockin' J's or
I be rockin' Taylors
I got lots of flavors, my kick game is major
More kicks than the players, call me up I'm scorin'
Hit it like a free throw, tongue out like I'm Jordan
Smiley, Miley, come swing the thing right by me
Got a joint if you wanna get stoned, got choppers if they wanna try me
Pro athlete I'm not no wannabe
Waitress asked how many bottles? I said 23
Put on my J's and dance the whole night away
I'm naughty by nature like I'm Hip-Hop Hooray
With my hands in the sky, I wave ‘em from side to side
My feet on the floor, I'm 'bout to turn up now

I'm in the club high on purp with some shades on
Tatted up, mini skirt with my J's on

J's on my feet
J's on my feet
J's on my feet
So get like me
J's on my feet
J's on my feet
J's on my feet
So get like me

I stay showin' out, my kick game is a beast
I got thirty pairs of J's that ain't never been released
Flu game 12's, Space Jam 11's
On the hype beast sick, they gon' need a paramedic
Turn up, turn up, turn up, I get trippy, I stay live
All this purple in my cup, match them grape 5's
I'm so high, I got three bitches that go bi
I'm so fly, I'm gettin' head like a blow dryer
Put on my J's and dance the whole night away
I'm naughty by nature like I'm Hip-Hop Hooray
With my hands in the sky, I wave ‘em from side to side
My feet on the floor, I'm 'bout to turn up now

I'm in the club high on purp with some shades on
Tatted up, mini skirt with my J's on

J's on my feet
J's on my feet
J's on my feet
So get like me
J's on my feet
J's on my feet (We trippin'!)
J's on my feet (We trippin'!)
So get like me (Mhm)",2256938,"23 by Mike WiLL Made-It (Ft. Juicy J, Miley Cyrus & Wiz Khalifa)",,
679,Fetty Wap Featuring Remy Boyz,"Yeah, baby, 17
(RemyBoy Lifestyle)
Ay, ay, look

Baby girl, you're so damn fine, though
I'm tryna know if I could hit it from behind, though
I'm sipping on you like some fine wine, though
And when it's over, I press rewind though, ayy
You talking bands, girl, I got it
Benjamins all in my pocket
I traded in my Trues for some Robins
He playing Batman, Fetty's gon' rob him, ayy
I got a Glock in my 'Rari, ayy
17 shots, no .38
I got a Glock in my 'Rari
17 shots, no .38

I'm like, yeah, she's fine
Wonder when she'll be mine
She walk past, I press rewind
To see that ass one more time
And I got this sewed up
Remy Boyz, they know us
All fast money, no slow bucks
No one can control us
Ayy, yeah, baby

Uh, yeah, Monty
Tell me what you see
Is it money or it’s me?
I smoke twenty, smell the weed
I got hunnies in my V
They like, ""Monty, can you be my baby daddy?""
I'm like, ""Yeah""
I got Robins on my jeans
You see the wings on every pair
All you see is Remy Boyz
You know my niggas everywhere
And if somebody got a problem
We could meet up anywhere
Now go say something
Don’t you niggas play dumb
You know where we came from
You don’t want sauce, no A1

I'm like, yeah, she's fine
Wonder when she'll be mine
She walk past, I press rewind
To see that ass one more time
And I got the sewed up
Remy Boyz, they know us
All fast money, no slow bucks
No one can control us
Ayy, yeah, baby
Ayy, they think they know us
They can't control us
Man, I got this sewed up
Remy Boyz, they know us
679, this is Zoo year, baby
Monty and the Zoovier, baby
ZooGang, all my zoo near, baby, yeah, baby
A thousand on my shoes when I walk through, baby
10.5 for a walkthrough, baby
ZooGang, you know my whole zoo near
And baby, I'm Zoovier
Ayy, she a cutie and she fine, make me wanna make her mine
She ain't nothing like them bimbos
If you like it, we can swerve, we can light and stain up here
Blowing, pluck it out the window
We get playing, press rewind, got her singing every time
Take a high note for me, girlfriend
Got my city looking rude
I ain't Diddy, I ain't Loon, but I think I need a girlfriend
She feeling great as I'm talking to her
She a RemyGirl, so I'm gon' pursue her
I brought a lot of loud, lot of Remy to sip on
Thousand dollars when I get my tip on
I'm off her, asked her if her fatty real
She said that's all her, got her with the happy feel
I'm 'bout to spoil her, go-go-got her with the happy feel
I'm 'bout to spoil her, oh, my
I'm like, yeah, she's fine
Wonder when she'll be mine
She walk past, I press rewind
Just to see that ass one more time
And I got this sewed up
Remy Boyz, they know us
All fast money, no slow bucks
No one can control us
Ayy, yeah, baby

ZooWap, Monty
ZooWap, Dicey
Yeah, baby, Remy Boyz
Yeah, yeah",4369565,"679 by Fetty Wap (Ft. Monty, P-Dice & Remy Boyz)",,
808,Blaque,"Oooh (yea, yea, yea, yea)
Oooh (yea, yea, yea, yea)

Check it out
See what I believe is
We was granted the power
What's that? Power, wha...
Ha, gotta make you dance
Like this

I heard she's got a 9 to 5 (Yea, yea, yea, yea)
But comin' in after 12 (Check it out)
I know you're tired of her lies (Yea, yea, yea)
Just let her go, what the deal? (Wha, wha, wha, wha)
(Wha, wha, wha, wha)
And now take me for instance, babe (Uh-huh)
See my love will drive ya crazy

Cause I be goin' boom like an 808 (Boom baby, boom baby)
Be makin' circles like a figure 8 (Wha, wha, wha, wha)
You know it feels good from head to toe
Now hold on to me, baby, here we go
1- You be goin' boom, baby, boom, baby, boom
And I be goin' ooh, baby, ooh, baby, ooh
(Check it out)

I heard she's not all that to you
Cause she can't do it like I do (ha-ha-ha)
So put that trophy on the shelf (Wha, wha, wha, wha)
Go out and find somebody else
Now take me for instance, babe
See my love will drive em crazy (Wha, wha, yeah)

Cause I be goin' boom like an 808 (Boom baby, boom baby)
Be makin' circles like a figure 8 (Wha, wha, wha, wha)
You know it feels good from head to toe (Yea, yea, yea, yea)
Now hold on to me baby here we go (Wha, wha, wha, wha, yea)

You be goin' boom baby boom baby boom
And I be goin' ooh baby ooh baby ooh (Yea, yea, yea, yea)

Boom like an 808
(Boom, baby, boom, baby)
Circles like a figure 8
(Circles like a figure 8)
Feels good from head to toe
(Feels good from head to toe)
To me, baby, here we go
(Now, hold on to me, baby, here we go) (Check it out, yea)
Ain't nobody can bang it like me
Stack it like me, what'n like me
Ask Kelly, his original plan
To get as large on the map, by makin' you clap your hands
Damn shoo bizzatch, I'm not gonna lie
I'll pump my amps to this
Cutie pie, honey bunch
If you're not busy take me to lunch
Oh, y'all done did it now, with the luscious music
World poppin' crews, and what, 8-0 grooves
To what intended use, yeah you to get me up you
You wanted to bump, and get them 8's
Cause they ride in my pocket baby
And today I just wanna
Jiggle my bump
And knock your socks off
Wit' my what? What? What? (wha wha wha wha)
Yea yea

Boom like an 808
(Boom like an 808)
Circles like a figure 8
(Circles like a figure 8)
Feels good from head to toe (Oh, yeah) (wha wha wha wha)
To me baby here we go
(Get it, baby, get it, baby) (Come on, lemme hear ya say)
Boom like an 808
(Boom like an 808)
Circles like a figure 8 (wha wha wha wha)
Feels good from head to toe
(Ya know it feels good from head to toe)
To me baby here we go (Yea, yea, yea)

You'll be goin' boom, baby, boom, baby (Boom baby, boom baby)
And I'll be goin' ooh baby ooh baby (Yea, yea, yea, yea)
You'll be goin' boom, baby, boom, baby (wha wha wha wha)
And I'll be goin' ooh, baby, ooh, baby

Boom like an 808 (Boom baby, boom baby)
Circles like a figure 8 (Wha wha wha wha)
Feels good from head to toe (Yea, yea, yea)
To me baby here we go (Uh huh, uh huh, uh huh)

Boom like an 808 (Boom baby, boom baby! hahaha)
Circles like a figure 8
Feels good from head to toe
To me baby here we go
Boom like an 808
Circles like a figure 8",22363,808 by Blaque,,
1979,The Smashing Pumpkins,"Shakedown 1979
Cool kids never have the time
On a live wire right up off the street
You and I should meet

Junebug skippin' like a stone
With the headlights pointed at the dawn
We were sure we'd never see an end to it all

And I don't even care
To shake these zipper blues
And we don't know
Just where our bones will rest
To dust I guess
Forgotten and absorbed into the earth
Below

Double-cross the vacant and the bored
They're not sure just what we have in store
Morphine city slippin' dues, down to see

That we don't even care
As restless as we are
We feel the pull
In the land of a thousand guilts
And poured cement

Lamented and assured
To the lights and towns below
Faster than the speed of sound
Faster than we thought we'd go
Beneath the sound of hope

Justine never knew the rules
Hung down with the freaks and ghouls
No apologies ever need be made
I know you better than you fake it, to see

That we don't even care
To shake these zipper blues
And we don't know
Just where our bones will rest
To dust I guess
Forgotten and absorbed into the earth
Below

The street heats the urgency of now
As you see there's no one around",640592,1979 by The Smashing Pumpkins,,
...Baby One More Time,Britney Spears,"Oh, baby, baby
Oh, baby, baby

Oh, baby, baby
How was I supposed to know
That somethin' wasn't right here?
Oh, baby, baby
I shouldn't have let you go
And now you're out of sight, yeah

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby
The reason I breathe is you (Oh yeah)
Boy, you got me blinded
Oh, pretty baby
There's nothing that I wouldn't do
It's not the way I planned it

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby (Oh)
Oh, baby, baby (Yeah, yeah)

Oh, baby, baby
How was I supposed to know?
Oh, pretty baby
I shouldn't have let you go
I must confess that my loneliness is killin' me now
Don't you know I still believe
That you will be here and give me a sign?
Hit me, baby, one more time
My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

I must confess that my loneliness (My loneliness is killin' me)
Is killin' me now (I must confess, I still believe)
Don't you know I still believe (When I'm not with you, I lose my mind)
That you will be here and give me a sign?
Hit me, baby, one more time",1264691,...Baby One More Time by Britney Spears,,
(Can't Live Without Your) Love And Affection,Nelson,"Seems like forever that she's been on my mind
But nothing has changed
She thinks I'm a waste of her time
(There she goes) she don't know what she's missing
Can't she see I'll never give up the fight
I'll do all I can
Till she understands my desire
I've been on the outside looking in
Let me into your heart, oh
There's nothing on earth that should keep us apart
Baby
I can't live without your love and affection
I can't face another night on my own
I'd give up my pride to save me from being alone
'Cause I can't live without your love
Mmm, your love
(So I wait) Here for an answer
And wonder if tomorrow will be like yesterday
I'll keep holding on
Can't go on living this way, baby
I've been on the outside looking in
Bring my tears to an end, oh
I realize there's no use for me to pretend
Oh yeah
I can't live without your love and affection
I can't face another night on my own
I'd give up my pride to save me from being alone
'Cause I can't live without your love
(For your love) I'd put my arms around you
(For your love) I'd find the strength to tell you
(For your love) That I can't live without your
I can't live without your love and affection
I can't face another night on my own
I'd give up my pride to save me from being alone
Baby
I can't live without your love and affection
I just can't go on this way anymore
As hard as I try there's one thing that I know for sure
I can't live without your love
(There she goes)
I can't live without your love, baby
(There she goes)
Oh, I can't live without your love
(There she goes)
Oh, I can't live without your love",7073,(Can't Live Without Your) Love And Affection by Nelson,,
(Everything I Do) I Do It For You,Bryan Adams,"Look into my eyes
You will see
What you mean to me
Search your heart
Search your soul
And when you find me there
You'll search no more

Don't tell me
It's not worth tryin' for
You can't tell me
It's not worth dyin' for
You know it's true
Everything I do
I do it for you

Look into your heart
You will find
There's nothin' there to hide
Take me as I am
Take my life
I would give it all
I would sacrifice

Don't tell me
It's not worth fightin' for
I can't help it
There's nothin' I want more
You know it's true
Everything I do
I do it for you

There's no love
Like your love
And no other
Could give more love
There's nowhere
Unless you're there
All the time
All the way, yeah

Look into your heart, babe
Yeah!
Oh, yeah!

Oh, you can't tell me
It's not worth tryin' for
I can't help it
There's nothin' I want more
Yeah, I would fight for you
I'd lie for you
Walk the wire for you
Yeah, I'd die for you
You know it's true
Everything I do
Oh!
I do it for you

Everything I do, darling
And we'll see it through
We will see it through
Oh, yeah!
Yeah!
Search your heart, search your soul
You can't tell me it ain't worth dying for
Oh, yeah!
I'll be there, yeah, oh!
I'll walk the wire for you, yeah!
I will die for you
Oh, yeah!
All the time
I'm going all the way, all the way, yeah!
Take me by the hand
Ow",175389,(Everything I Do) I Do It for You by Bryan Adams,,
(Hot S**t) Country Grammar,Nelly,"Hot shit!
Mmm
I'm goin' down, down baby, yo' street in a Range Rover (c'mon)
Street sweeper baby, cocked ready to let it go (hot shit!)
Shimmy, shimmy cocoa, what? Listen to it pound
Light it up and take a puff, pass it to me now
I'm goin' down, down baby, yo' street in a Range Rover
Street sweeper baby, cocked ready to let it go
Shimmy, shimmy cocoa, what? Listen to it pound
Light it up and take a puff, pass it to me now
You can find me, in St. Louis rollin' on dubs
Smokin' on dubs in clubs, blowin' up like cocoa puffs
Sippin' Bud, gettin' perved and getting dubbed
Daps and hugs, mean mugs and shoulder shrugs
And it's all because, 'ccumulated enough scratch
Just to navigate it, wood decorated on chrome
And it's candy painted, fans fainted, while I'm entertainin'
Wild ain't it? How me and money end up hangin'
I hang with Hannibal Lector (hot shit) so feel me when I bring it
Sing it loud (what?)
I'm from the Lou and I'm proud
Run a mile for the cause, I'm righteous above the law
Playa my style's raw, I'm ""Born to Mack"" like Todd Shaw
Forget the fame, and the glamour
Give me D's with a rubber hammer
My grammar be's ebonics, gin tonic and chronic
Fuck bionic it's ironic, slammin' niggaz like Onyx
Lunatics 'til the day I die
I run more game than the Bulls and Sonics
I'm goin' down, down baby, yo' street in a Range Rover (c'mon)
Street sweeper baby, cocked ready to let it go (hot shit!)
Shimmy, shimmy cocoa, what? Listen to it pound
Light it up and take a puff, pass it to me now
I'm goin' down, down baby, yo' street in a Range Rover
Street sweeper baby, cocked ready to let it go
Shimmy, shimmy cocoa, what? Listen to it pound
Light it up and take a puff, pass it to me now
Who say pretty boys can't be wild niggaz?
Loud niggaz, O.K. Corral niggaz
Foul niggaz, run in the club and bust in the crowd nigga
How nigga? Ask me again and it's goin' down nigga
Now nigga, come to the circus and watch me clown nigga
Pound niggaz what you be givin' when I'm around niggas?
Frown niggaz talkin' that shit when I leave the town nigga
Say now, can you hoes come out to play now?
Hey, I'm ready to cut you up any day now
Play by my rules boo and you gon' stay high
May I answer yo' Third Question like A.I.
Say hi, to my niggaz left in the slamma
From St. Louis to Memphis
From Texas back up to Indiana, Chi-Town
K.C. Motown to Alabama
L-A, New York Yankee niggaz to Hotlanta
'Ouisiana, all my niggaz wit ""Country Grammar""
Smokin' blunts in Savannah
Blow 30 mill' like I'm Hammer
I'm goin' down, down baby, yo' street in a Range Rover (c'mon)
Street sweeper baby, cocked ready to let it go (hot shit!)
Shimmy, shimmy cocoa, what? Listen to it pound
Light it up and take a puff, pass it to me now
I'm goin' down, down baby, yo' street in a Range Rover
Street sweeper baby, cocked ready to let it go
Shimmy, shimmy cocoa, what? Listen to it pound
Light it up and take a puff, pass it to me now
Let's show these cats to make these milli-ons
So you niggaz quit actin silly, mon
Kid quicker than Billy, mon
Talkin' really and I need it mon
Flows I kick 'em freely mon, 'specially off Remi, mon
Keys to my Beemer, mon, holla at Beenie Man
See me, mon, cheifin' rollin' deeper than any mon
Through Jennings mon, through U-City back up to Kingsland
Wit nice niggaz, sheist niggaz who snatch yo' life niggaz
Trife niggaz, who produce and sell the same beat twice, nigga (hot shit!)
Ice niggaz, all over close to never sober
From broke to havin' bro-kers my price Range is Rover
Now I'm knockin' like Jehovah
Let me in now, let me in now
Bill Gates, Donald Trump let me in now
Spin now, I got money to lend my friends now
We in now, candy Benz, Kenwood and 10""s now
I win now, whoo! Fuckin lesbian twins now
Seein' now, through the pen I make my ends now
I'm goin' down, down baby, yo' street in a Range Rover (c'mon)
Street sweeper baby, cocked ready to let it go (hot shit!)
Shimmy, shimmy cocoa, what? Listen to it pound
Light it up and take a puff, pass it to me now
I'm goin' down, down baby, yo' street in a Range Rover
Street sweeper baby, cocked ready to let it go
Shimmy, shimmy cocoa, what? Listen to it pound
Light it up and take a puff, pass it to me now",6015,Hot Rap Songs Chart 25th Anniversary: Top 100 Songs by Billboard,,
