"SOURCE","TARGET"
"I Need A Girl (Part Two)","P. Diddy"
"I Need A Girl (Part Two)","Ginuwine"
"I Need A Girl (Part Two)","Loon"
"I Need A Girl (Part Two)","Mario Winans"
"I Need A Girl (Part Two)","Tammy Ruggeri"
"I Need A Girl (Part Two)","Mario Winans"
"I Need A Girl (Part Two)","Sean Combs"
"I Need A Girl (Part Two)","Sean Combs"
"I Need A Girl (Part Two)","Chauncey Hawkins"
"I Need A Girl (Part Two)","Mario Winans"
"I Need A Girl (Part Two)","Frankie Romano"
"I Need A Girl (Part Two)","Michael Carlos Jones"
"I Need A Girl (Part Two)","Adonis Shropshire"
"Jealous","DJ Khaled"
"Jealous","Big Sean"
"Jealous","Chris Brown"
"Jealous","Lil Wayne"
"Jealous","Khaled Khaled"
"Meant To Be","Bebe Rexha"
"Meant To Be","Florida Georgia Line"
"Meant To Be","David Garcia"
"Meant To Be","Wilshire Pablo Garcia"
"Meant To Be","Joey Moi"
"Meant To Be","Bleta Rexha"
"Meant To Be","Tyler Hubbard"
"Meant To Be","Josh Miller"
"Meant To Be","David Garcia"
"FourFiveSeconds","Rihanna"
"FourFiveSeconds","Kanye West"
"FourFiveSeconds","Paul McCartney"
"FourFiveSeconds","Kanye West"
"FourFiveSeconds","Paul McCartney"
"FourFiveSeconds","Kanye West"
"FourFiveSeconds","Paul McCartney"
"FourFiveSeconds","Kirby Lauryen"
"FourFiveSeconds","Mike Dean"
"FourFiveSeconds","Tyrone Griffin"
"FourFiveSeconds","Dave Longstreth"
"FourFiveSeconds","Robyn Fenty"
"FourFiveSeconds","Dallas Austin"
"FourFiveSeconds","Elon Rutberg"
"FourFiveSeconds","Noah Goldstein"
"Eastside","Benny Blanco"
"Eastside","Khalid"
"Eastside","Halsey"
"Eastside","Andrew Watt"
"Eastside","Benny Blanco"
"Eastside","Cashmere Cat"
"Eastside","Happy Perez"
"Eastside","Benny Blanco"
"Eastside","Ashley Frangipane"
"Eastside","Nathan Perez"
"Eastside","Khalid Robinson"
"Eastside","Ed Sheeran"
"I Know What You Want","Busta Rhymes"
"I Know What You Want","Mariah Carey"
"I Know What You Want","The Flipmode Squad"
"I Know What You Want","Rick Rock"
"I Know What You Want","Trevor G. Smith Jr."
"I Know What You Want","Rashia Fisher"
"I Know What You Want","Roger McNair"
"I Know What You Want","Ricardo Thomas"
"I Know What You Want","William A. Lewis"
"I Know What You Want","L. Jones"
"The Boy Is Mine","Brandy"
"The Boy Is Mine","Monica"
"The Boy Is Mine","Darkchild"
"The Boy Is Mine","Brandy"
"The Boy Is Mine","Dallas Austin"
"The Boy Is Mine","LaShawn Daniels"
"The Boy Is Mine","Rodney Jerkins"
"The Boy Is Mine","Fred Jerkins III"
"The Boy Is Mine","Japhe Tejeda"
"The Boy Is Mine","Brandy Norwood"
"Give Me Everything","Pitbull"
"Give Me Everything","Nayer"
"Give Me Everything","Ne-Yo"
"Give Me Everything","Afrojack"
"Give Me Everything","Afrojack"
"Give Me Everything","DJ Buddha (co.)"
"Give Me Everything","Armando Pérez"
"Give Me Everything","Nick van de Wall"
"Give Me Everything","Shaffer Smith"
"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr"
"Juju On That Beat (TZ Anthem)","Zayion McCall"
"Juju On That Beat (TZ Anthem)","Lil' Jay"
"Juju On That Beat (TZ Anthem)","Tyjuan Peoples"
"Juju On That Beat (TZ Anthem)","James McCall"
"Juju On That Beat (TZ Anthem)","Jonathan Lewis"
"Juju On That Beat (TZ Anthem)","Brittany Carpentero"
