"SOURCE","TARGET"
"Ginuwine","P. Diddy"
"Loon","P. Diddy"
"Mario Winans","P. Diddy"
"Tammy Ruggeri","P. Diddy"
"Big Sean","DJ Khaled"
"Chris Brown","DJ Khaled"
"Lil Wayne","DJ Khaled"
"Florida Georgia Line","Bebe Rexha"
"Kanye West","Rihanna"
"Paul McCartney","Rihanna"
"Khalid","Benny Blanco"
"Halsey","Benny Blanco"
"Mariah Carey","Busta Rhymes"
"The Flipmode Squad","Busta Rhymes"
"Monica","Brandy"
"Nayer","Pitbull"
"Ne-Yo","Pitbull"
"Afrojack","Pitbull"
"Zayion McCall","Zay Hilfigerrr"
"Ricardo ""RikRok"" Ducent","Shaggy"
"Jay-Z","Mariah Carey"
"Alicia Keys","Eve"
"Bounty Killer","No Doubt"
"Janet Jackson","Luther Vandross"
"BBD","Luther Vandross"
"Ralph Tresvant","Luther Vandross"
"Case","Ja Rule"
"Colby O'Donis","Lady Gaga"
"Drake","DJ Khaled"
"Rick Ross","DJ Khaled"
"Lil Wayne","DJ Khaled"
"Gwen Stefani","Eve"
"Jeezy","Rihanna"
"Juelz Santana","Cam'Ron"
"Kanye West","Jay Z"
"Leighton Meester","Cobra Starship"
"Lil Yachty","KYLE"
"Ludacris","Ciara"
"Product","Funkmaster Flex Presents Khadejia"
"Rihanna","T.I."
"The Weeknd","Ariana Grande"
"Young Thug","Usher"
"will.i.am","Fergie"
"50 Cent","The Game"
"Adam Levine","R. City"
"Akon","Michael Jackson"
"Billy Ray Cyrus","Lil Nas X"
"Rihanna","DJ Khaled"
"Bryson TIller","DJ Khaled"
"Ciara","Missy Elliott"
"Fat Man Scoop","Missy Elliott"
"Diplo","Skrillex"
"Justin Bieber","Skrillex"
"Ludacris","Enrique Iglesias"
"DJ Frank E","Enrique Iglesias"
"Mystikal","Ludacris"
"Infamous 2.0","Ludacris"
"Justin Timberlake","The Black Eyed Peas"
"Bobby Valentino","Lil Wayne"
"Kidd Kidd","Lil Wayne"
"Mystikal","Will Smith"
"Kool Mo Dee","Will Smith"
"Lil Jon","DJ Snake"
"MNEK","Zara Larsson"
"Yin Yang Twins","Bubba Sparxxx"
"Mr.Collipark","Bubba Sparxxx"
"Ne-Yo","Pitbull"
"Travis Scott","Kodak Black"
"Offset","Kodak Black"
"Paul Wall","Nelly"
"Ali","Nelly"
"Gipp","Nelly"
"Sage the Gemini","Flo Rida"
