"SOURCE","TARGET"
"Chauncey Hawkins","Sean Combs"
"Mario Winans","Sean Combs"
"Frankie Romano","Sean Combs"
"Michael Carlos Jones","Sean Combs"
"Adonis Shropshire","Sean Combs"
"Tyler Hubbard","Bleta Rexha"
"Josh Miller","Bleta Rexha"
"David Garcia","Bleta Rexha"
"Paul McCartney","Kanye West"
"Kirby Lauryen","Kanye West"
"Mike Dean","Kanye West"
"Tyrone Griffin","Kanye West"
"Dave Longstreth","Kanye West"
"Robyn Fenty","Kanye West"
"Dallas Austin","Kanye West"
"Elon Rutberg","Kanye West"
"Noah Goldstein","Kanye West"
"Ashley Frangipane","Benny Blanco"
"Nathan Perez","Benny Blanco"
"Khalid Robinson","Benny Blanco"
"Ed Sheeran","Benny Blanco"
"Rashia Fisher","Trevor G. Smith Jr."
"Roger McNair","Trevor G. Smith Jr."
"Ricardo Thomas","Trevor G. Smith Jr."
"William A. Lewis","Trevor G. Smith Jr."
"L. Jones","Trevor G. Smith Jr."
"Rodney Jerkins","LaShawn Daniels"
"Fred Jerkins III","LaShawn Daniels"
"Japhe Tejeda","LaShawn Daniels"
"Brandy Norwood","LaShawn Daniels"
"Nick van de Wall","Armando Pérez"
"Shaffer Smith","Armando Pérez"
"James McCall","Tyjuan Peoples"
"Jonathan Lewis","Tyjuan Peoples"
"Brittany Carpentero","Tyjuan Peoples"
"Christopher Henderson","Tyjuan Peoples"
"Venetia Lewis","Tyjuan Peoples"
"Alphonce Smith","Tyjuan Peoples"
"Jarques Usher","Tyjuan Peoples"
"Miguel Morejon","Jon Secada"
"Marc Valentine","Eugene Hanes"
"Loren Hill","Eugene Hanes"
"William ""Bootsy"" Collins","Eugene Hanes"
"George Clinton, Jr.","Eugene Hanes"
"Desmond Child","Draco Rosa"
"Anthony White","Belcalis Almanzar"
"George Michael","Attrell Cordes"
"Antwan Patton","André Benjamin"
"David Sheats","André Benjamin"
"Teddy Bishop","Johntá Austin"
"Elgin Baylor Lumpkin","Johntá Austin"
"Lindy Robbins","Dan Muckala"
"Jess Cates","Dan Muckala"
"Jim Boothe","Joe Beal"
"Jimmy Jam & Terry Lewis","Janet Jackson"
"Harvey Fuqua","Janet Jackson"
"John Bristol","Janet Jackson"
"Jackey Beavers","Janet Jackson"
"Rickardo Ducent","Orville Burrell"
"Shaun Pizzonia","Orville Burrell"
"Brian Thompson","Orville Burrell"
"Simon Gallup","Robert Smith"
"Porl Thompson","Robert Smith"
"Roger O'Donnell","Robert Smith"
"Boris Williams","Robert Smith"
"Lol Tolhurst","Robert Smith"
"Robert Steele","Deena Charles"
"Russ DeSalvo","Deena Charles"
"Pharrell Williams","Shawn Carter"
"Chad Hugo","Shawn Carter"
"Rick James","Shawn Carter"
"Kanye West","Shawn Carter"
"Ed Sheeran","Ryan Tedder"
"Benny Blanco","Ryan Tedder"
"Jordan Schmidt","Devin Dawson"
"Michael Hardy","Devin Dawson"
"Shawn Carter","Mariah Carey"
"Shirley Elliston","Mariah Carey"
"Lincoln Chase","Mariah Carey"
"Narada Michael Walden","Mariah Carey"
"Jeffrey Cohen","Mariah Carey"
"Espen Lind","Pat Monahan"
"Amund Bjørklund","Pat Monahan"
"Denzil Foster","Thomas McElroy"
"Terry Ellis","Thomas McElroy"
"Cindy Herron","Thomas McElroy"
"Maxine Jones","Thomas McElroy"
"Dawn Robinson","Thomas McElroy"
"Kipper Jones","Keith Crouch"
"Steve Poltz","Jewel Kilcher"
"Steve Kipner","David Frank"
"Pamela Sheyne","David Frank"
"Dallas Austin","Pink"
"Jonah Ellis","Alisa Yarbrough"
"Lonnie Simmons","Alisa Yarbrough"
"Eve Jeffers","Alisa Yarbrough"
"Rhett Lawrence","Kelly Clarkson"
"Christina Aguilera","Kelly Clarkson"
"Matt Morris","Kelly Clarkson"
"Teddy Mendez","Lumidee Cedeño"
"Edwin Perez","Lumidee Cedeño"
"Steven Marsden","Lumidee Cedeño"
"Adam Feeney","Camila Cabello"
"Leo Rami Dawod","Camila Cabello"
"Jacob Ludwig Olofsson","Camila Cabello"
"Noonie Bao","Camila Cabello"
"Sasha Yatchenko","Camila Cabello"
"Steve Kipner","Clif Magness"
"Claydes Smith","Anthony Gilmour"
"Dennis Thomas","Anthony Gilmour"
"Denzil Foster","Anthony Gilmour"
"Donald Boyce","Anthony Gilmour"
"Garrick Husbands","Anthony Gilmour"
"George Brown","Anthony Gilmour"
"Jay King","Anthony Gilmour"
"Jerold Ellis","Anthony Gilmour"
"Rick Westfield","Anthony Gilmour"
"Robert Bell","Anthony Gilmour"
"Robert Mickens","Anthony Gilmour"
"Ronald Bell","Anthony Gilmour"
"Thomas McElroy","Anthony Gilmour"
"Kirk Robinson","Anthony Gilmour"
"Nathan Bell","Anthony Gilmour"
"Clifford Adams","Anthony Gilmour"
"Tony Kanal","Gwen Stefani"
"Tom Dumont","Gwen Stefani"
"Rodney Price","Gwen Stefani"
"A. Lyon","D. Carter"
"M. Valenzano","D. Carter"
"E. Montilla","D. Carter"
"G. Moroder","D. Carter"
"P. Bellotte","D. Carter"
"Fraser T. Smith","Adele Adkins"
"Toby Gad","John Stephens"
"Walter Afanasieff","Mariah Carey"
"Jason Reeves","Colbie Caillat"
"Michael Bivins","Jimmy Jam and Terry Lewis"
"Ronnie DeVoe","Jimmy Jam and Terry Lewis"
"Harry Wayne Casey","Jimmy Jam and Terry Lewis"
"Richard Finch","Jimmy Jam and Terry Lewis"
"Robert Mays","Jeffrey Atkins"
"Irving Lorenzo","Jeffrey Atkins"
"Stevie Wonder","Jeffrey Atkins"
"Nadir ""RedOne"" Khayat","Stefani Germanotta"
"Aliaune ""Akon"" Thiam","Stefani Germanotta"
"William Roberts","Aubrey Graham"
"Dwayne Carter, Jr.","Aubrey Graham"
"N. Cobey","Aubrey Graham"
"Khaled Khaled","Aubrey Graham"
"Tyler Williams","Aubrey Graham"
"Nikhil Seetharam","Aubrey Graham"
"Noah Shebib","Aubrey Graham"
"Andre Young","Eve Jeffers"
"Mike Elizondo","Eve Jeffers"
"Scott Storch","Eve Jeffers"
"Steven Jordan","Eve Jeffers"
"Christopher Stewart","Terius Nash"
"Robyn Fenty","Terius Nash"
"Jay Jenkins","Terius Nash"
"Shawn Carter","Kanye West"
"John Altschuler","Kanye West"
"Chauncey Hollis","Kanye West"
"Kara DioGuardi","Gabe Saporta"
"Kevin Rudolf","Gabe Saporta"
"Jacob Kasher","Gabe Saporta"
