Year,Left,Right,Result,Round
2023,South Carolina,Norfolk State,Left,Quads
2023,South Florida,Marquette,Left,Quads
2023,Oklahoma,Portland,Left,Quads
2023,UCLA,Sacramento State,Left,Quads
2023,Creighton,Mississippi State,Right,Quads
2023,Notre Dame,Southern Utah,Left,Quads
2023,Arizona,West Virginia,Left,Quads
2023,Maryland,Holy Cross,Left,Quads
2023,South Carolina,South Florida,Left,Doubles
2023,Oklahoma,UCLA,Right,Doubles
2023,Mississippi State,Notre Dame,Right,Doubles
2023,Arizona,Maryland,Right,Doubles
2023,South Carolina,UCLA,Left,Sweet Sixteen
2023,Notre Dame,Maryland,Rigth,Sweet Sixteen
2023,South Carolina,Maryland,Left,Elite Eight
2023,Indiana,Tennessee Tech,Left,Quads
2023,Oklahoma State,Miami (FL),Right,Quads
2023,Washington State,Florida Gulf Coast,Right,Quads
2023,Villanova,Cleveland State,Left,Quads
2023,Michigan,Nevada-Las Vegas,Left,Quads
2023,Louisiana State,Hawaii,Left,Quads
2023,NC State,Princeton,Right,Quads
2023,Utah,Gardner-Webb,Left,Quads
2023,Indiana,Miami (FL),Right,Doubles
2023,Florida Gulf Coast,Villanova,Right,Doubles
2023,Michigan,Louisiana State,Right,Doubles
2023,Princeton,Utah,Right,Doubles
2023,Miami (FL),Villanova,Left,Sweet Sixteen
2023,Louisiana State,Utah,Left,Sweet Sixteen
2023,Miami (FL),Louisiana State,Right,Elite Eight
2023,Virginia Tech,Chattanooga,Left,Quads
2023,Southern California,South Dakota State,Right,Quads
2023,Iowa State,Toledo,Right,Quads
2023,Tennessee,Saint Louis,Left,Quads
2023,North Carolina,St. John's (NY),Left,Quads
2023,Ohio State,James Madison,Left,Quads
2023,Baylor,Alabama,Left,Quads
2023,Connecticut,Vermont,Left,Quads
2023,Virginia Tech,South Dakota State,Left,Doubles
2023,Toledo,Tennessee,Right,Doubles
2023,North Carolina,Ohio State,Right,Doubles
2023,Baylor,Connecticut,Right,Doubles
2023,Virginia Tech,Tennessee,Left,Sweet Sixteen
2023,Ohio State,Connecticut,Left,Sweet Sixteen
2023,Virginia Tech,Ohio State,Left,Elite Eight
2023,Stanford,Sacred Heart,Left,Quads
2023,Mississippi,Gonzaga,Left,Quads
2023,Louisville,Drake,Left,Quads
2023,Texas,East Carolina,Left,Quads
2023,Colorado,Middle Tennessee,Left,Quads
2023,Duke,Iona,Left,Quads
2023,Florida State,Georgia,Right,Quads
2023,Iowa State,Southeastern Louisiana,Left,Quads
2023,Stanford,Mississippi,Right,Doubles
2023,Louisville,Texas,Left,Doubles
2023,Colorado,Duke,Left,Doubles
2023,Georgia,Iowa,Right,Doubles
2023,Mississippi,Louisville,Right,Sweet Sixteen
2023,Colorado,Iowa,Right,Sweet Sixteen
2023,Louisville,Iowa,Right,Elite Eight
2023,South Carolina,Iowa,Right,Final Four
2023,Louisiana State,Virginia Tech,Left,Final Four
2023,Iowa,Louisiana State,Right,Champion
2022,NC State,Longwood,Left,Quads
2022,Washington State,Kansas State,Right,Quads
2022,Notre Dame,Massachusetts,Left,Quads
2022,Oklahoma,IUPUI,Left,Quads
2022,Kentucky,Princeton,Right,Quads
2022,Indiana,Charlotte,Left,Quads
2022,UCF,Florida,Left,Quads
2022,Connecticut,Mercer,Left,Quads
2022,NC State,Longwood,Left,Doubles
2022,Notre Dame,Massachusetts,Left,Doubles
2022,Princeton,Indiana,Right,Doubles
2022,UCF,Florida,Right,Doubles
2022,NC State,Notre Dame,Left,Sweet Sixteen
2022,Indiana,Charlotte,Left,Sweet Sixteen
2022,NC State,Connecticut,Right,Elite Eight
2022,South Carolina,Howard,Left,Quads
2022,Miami (FL),South Florida,Left,Quads
2022,North Carolina,Stephen F. Austin,Left,Quads
2022,Arizona,Nevada-Las Vegas,Left,Quads
2022,Georgia,Dayton,Left,Quads
2022,Iowa State,UT Arlington,Left,Quads
2022,Colorado,Creighton,Right,Quads
2022,Iowa,Illinois State,Left,Quads
2022,South Carolina,Miami (FL),Left,Doubles
2022,North Carolina,Arizona,Left,Doubles
2022,Georgia,Iowa State,Right,Doubles
2022,Creighton,Iowa,Left,Doubles
2022,South Carolina,North Carolina,Left,Sweet Sixteen
2022,Iowa State,Creighton,Right,Sweet Sixteen
2022,South Carolina,Creighton,Left,Elite Eight
2022,Stanford,Montana State,Left,Quads
2022,Kansas,Georgia Tech,Left,Quads
2022,Virginia Tech,Florida Gulf Coast,Right,Quads
2022,Maryland,Delaware,Left,Quads
2022,Ohio State,Missouri State,Left,Quads
2022,Louisiana State,Jackson State,Left,Quads
2022,Utah,Arkansas,Left,Quads
2022,Texas,Fairfield,Left,Quads
2022,Stanford,Kansas State,Left,Doubles
2022,Florida Gulf Coast,Maryland,Right,Doubles
2022,Ohio State,Louisiana State,Left,Doubles
2022,Utah,Texas,Right,Doubles
2022,Stanford,Maryland,Left,Sweet Sixteen
2022,Ohio State,Texas,Right,Sweet Sixteen
2022,Stanford,Texas,Left,Elite Eight
2022,Louisville,Albany (NY),Left,Quads
2022,Nebraska,Gonzaga,Right,Quads
2022,Oregon,Belmont,Right,Quads
2022,Tennessee,Buffalo,Left,Quads
2022,Brigham Young,Villanova,Right,Quads
2022,Michigan,American,Left,Quads
2022,Mississippi,South Dakota,Right,Quads
2022,Baylor,Hawaii,Left,Quads
2022,Louisville,Gonzaga,Left,Doubles
2022,Belmont,Tennessee,Right,Doubles
2022,Villanova,Michigan,Right,Doubles
2022,South Dakota,Baylor,Left,Doubles
2022,Louisville,Tennessee,Left,Sweet Sixteen
2022,Michigan,South Dakota,Left,Sweet Sixteen
2022,Louisville,Michigan,Left,Elite Eight
2022,South Carolina,Louisville,Left,Final Four
2022,Stanford,Connecticut,Right,Final Four
2022,Connecticut,South Carolina,Left,Champion
2021,Stanford,Utah Valley,Left,Quads
2021,Oklahoma State,Wake Forest,Left,Quads
2021,Missouri State,UC Davis,Left,Quads
2021,Arkansas,Wright State,Right,Quads
2021,Oregon,South Dakota,Left,Quads
2021,Georgia,Drexel,Left,Quads
2021,Northwestern,UCF,Left,Quads
2021,Louisville,Marist,Left,Quads
2021,Stanford,Oklahoma State,Left,Doubles
2021,Missouri State,Wright State,Left,Doubles
2021,Oregon,Georgia,Left,Doubles
2021,Northwestern,Louisville,Right,Doubles
2021,Stanford,Missouri State,Left,Sweet Sixteen
2021,Oregon,Louisville,Right,Sweet Sixteen
2021,Stanford,Louisville,Left,Elite Eight
2021,South Carolina,Mercer,Left,Quads
2021,Oregon State,Florida State,Left,Quads
2021,Georgia Tech,Stephen F. Austin,Left,Quads
2021,West Virginia,Lehigh,Left,Quads
2021,Texas,Bradley,Left,Quads
2021,UCLA,Wyoming,Left,Quads
2021,Alabama,North Carolina,Left,Quads
2021,Maryland,Mount St. Mary's,Left,Quads
2021,South Carolina,Oregon State,Left,Doubles
2021,Georgia Tech,West Virginia,Left,Doubles
2021,Texas,UCLA,Left,Doubles
2021,Alabama,Maryland,Right,Doubles
2021,South Carolina,Georgia Tech,Left,Sweet Sixteen
2021,Texas,Maryland,Left,Sweet Sixteen
2021,South Carolina,Texas,Left,Elite Eight
2021,NC State,North Carolina A&T,Left,Quads
2021,South Florida,Washington State,Left,Quads
2021,Gonzaga,Belmont,Right,Quads
2021,Indiana,Virginia Commonwealth,Left,Quads
2021,Rutgers,Brigham Young,Right,Quads
2021,Arizona,Stony Brook,Left,Quads
2021,Iowa State,Michigan State,Left,Quads
2021,Texas A&M,Troy,Left,Quads
2021,NC State,South Florida,Left,Doubles
2021,Belmont,Indiana,Right,Doubles
2021,Brigham Young,Arizona,Right,Doubles
2021,Iowa State,Texas A&M,Right,Doubles
2021,NC State,Indiana,Right,Sweet Sixteen
2021,Arizona,Texas A&M,Left,Sweet Sixteen
2021,Indiana,Arizona,Right,Elite Eight
2021,Connecticut,High Point,Left,Quads
2021,Syracuse,South Dakota State,Left,Quads
2021,Iowa,Central Michigan,Left,Quads
2021,Kentucky,Idaho State,Left,Quads
2021,Michigan,Florida Gulf Coast,Left,Quads
2021,Tennessee,Middle Tennessee,Left,Quads
2021,Virginia Tech,Marquette,Left,Quads
2021,Baylor,Jackson State,Left,Quads
2021,Connecticut,Syracuse,Left,Doubles
2021,Iowa,Kentucky,Left,Doubles
2021,Michigan,Michigan,Left,Doubles
2021,Virginia Tech,Baylor,Right,Doubles
2021,Connecticut,Iowa,Left,Sweet Sixteen
2021,Michigan,Baylor,Right,Sweet Sixteen
