"Song","n"
"'03 Bonnie & Clyde",16
"(Can't Live Without Your) Love And Affection",10
"(Everything I Do) I Do It For You",13
"(Hot S**t) Country Grammar",15
"(When You Gonna) Give It Up To Me",11
"...Baby One More Time",23
"1, 2 Step",23
"1, 2, 3, 4 (Sumpin' New)",11
"1-800-273-8255",15
"10,000 Hours",11
"100% Pure Love",16
"1979",11
"2 Become 1",12
"2 Legit 2 Quit",13
"21 Questions",16
"23",12
"24K Magic",22
"3",14
"4 Minutes",12
"4 Seasons Of Loneliness",13
"5 O'Clock",10
"679",28
"7",10
"7 Rings",22
"7 Years",20
"808",10
"A Bay Bay",11
"A Holly Jolly Christmas",10
"A Milli",10
"A Song For Mama",12
"A Thousand Miles",26
"A Whole New World (Aladdin's Theme)",14
"A Woman's Worth",10
"Absolutely (Story Of A Girl)",14
"Achy Breaky Heart",15
"Addictive",10
"Adia",18
"Again",39
"Ain't 2 Proud 2 Beg",12
"Ain't It Fun",11
"Ain't It Funny",18
"Ain't No Other Man",13
"Air Force Ones",14
"Airplanes",24
"Alejandro",13
"All 4 Love",15
"All About That Bass",30
"All Around The World",10
"All Cried Out",15
"All Falls Down",12
"All For Love",17
"All For You",30
"All I Have",17
"All I Have To Give",12
"All I Wanna Do",21
"All I Wanna Do Is Make Love To You",10
"All I Want For Christmas Is You",32
"All My Life",25
"All Of Me",30
"All Or Nothing",17
"All Star",18
"All That She Wants",19
"All The Man That I Need",10
"All The Small Things",10
"All You Wanted",13
"Alright",10
"Always",22
"Always Be My Baby",18
"Always On Time",19
"Am I Wrong",21
"Amazed",19
"Anaconda",10
"Angel",38
"Angel Of Mine",16
"Animal",10
"Animals",17
"Another Night",28
"Another Sad Love Song",11
"Any Time, Any Place/And On And On",15
"Anything",11
"Anytime You Need A Friend",12
"Apologize",31
"Applause",17
"As I Lay Me Down",17
"As Long As You Love Me",17
"At Your Best (You Are Love)",10
"Attention",19
"Ayo Technology",11
"Baby",28
"Baby Baby",11
"Baby Boy",22
"Baby Got Back",20
"Baby I Love Your Way (From ""Reality Bites"")",17
"Baby-Baby-Baby",17
"Back & Forth",16
"Back At One",22
"Back For Good",13
"Back Here",15
"Bad And Boujee",17
"Bad At Love",14
"Bad Blood",15
"Bad Day",18
"Bad Guy",70
